Track ID,Track Name,Album Titles,Media Type,Genres
1172,Dead Horse,Use Your Illusion I,Protected AAC audio file,Rock
1173,Coma,Use Your Illusion I,Protected AAC audio file,Rock
1201,Different World,A Matter of Life and Death,Protected AAC audio file,Rock
1202,These Colours Don't Run,A Matter of Life and Death,Protected AAC audio file,Rock
1203,Brighter Than a Thousand Suns,A Matter of Life and Death,Protected AAC audio file,Rock
1204,The Pilgrim,A Matter of Life and Death,Protected AAC audio file,Rock
1205,The Longest Day,A Matter of Life and Death,Protected AAC audio file,Rock
1206,Out of the Shadows,A Matter of Life and Death,Protected AAC audio file,Rock
1207,The Reincarnation of Benjamin Breeg,A Matter of Life and Death,Protected AAC audio file,Rock
1208,For the Greater Good of God,A Matter of Life and Death,Protected AAC audio file,Rock
1209,Lord of Light,A Matter of Life and Death,Protected AAC audio file,Rock
1210,The Legacy,A Matter of Life and Death,Protected AAC audio file,Rock
1211,Hallowed Be Thy Name (Live) [Non Album Bonus Track],A Matter of Life and Death,Protected AAC audio file,Rock
1235,The Wicker Man,Brave New World,MPEG audio file,Rock
1236,Ghost Of The Navigator,Brave New World,MPEG audio file,Rock
1237,Brave New World,Brave New World,MPEG audio file,Rock
1238,Blood Brothers,Brave New World,MPEG audio file,Rock
1239,The Mercenary,Brave New World,MPEG audio file,Rock
1240,Dream Of Mirrors,Brave New World,MPEG audio file,Rock
1241,The Fallen Angel,Brave New World,MPEG audio file,Rock
1242,The Nomad,Brave New World,MPEG audio file,Rock
1243,Out Of The Silent Planet,Brave New World,MPEG audio file,Rock
